,Import Power [kW],Export Power [kW],Load Power [kW],Tariff Energy Period [-],Tariff Power Period [-],Temperature [C],PV Power [kW],Battery Charging Power [kW],Battery Discharging Power [kW],Battery Aggregate SOC [-],Tariff Energy [$/kWh],PV/Import Power (%),Battery Utilization Rate (%),Grid Utilization rate (%)
145,54649.78,0.0,58538.125,0,0,12.2995317319503,3888.3453,0.0,0.0,0.69723344,0.15,3,1,96
146,54694.409,0.0,57815.432,0,0,12.27677181833515,3121.0234,0.0,0.0,0.6972286,0.15,3,1,96
147,54308.132,0.0,57092.739,0,0,12.254011904720002,2784.6067,0.0,0.0,0.69722376,0.15,3,1,96
148,53350.806,0.0,56370.046,0,0,12.231251991104852,3019.2406,0.0,0.0,0.69721892,0.15,3,1,96
149,52734.691,0.0,55647.353,0,0,12.208492077489703,2912.6625,0.0,0.0,0.69721408,0.15,3,1,96
150,51993.695,0.0,54924.66,0,0,12.185732163874556,2930.9658,0.0,0.0,0.69720923,0.15,3,1,96
151,51955.384,0.0,54201.967,0,0,12.162972250259404,2246.583,0.0,0.0,0.69720439,0.15,3,1,96
152,51354.736,0.0,53479.275,0,0,12.140212336644256,2124.5382,0.0,0.0,0.69719955,0.15,3,1,96
153,50420.981,0.0,52756.582,0,0,12.117452423029103,2335.6007,0.0,0.0,0.69719471,0.15,3,1,96
154,49988.507,0.0,52033.889,0,0,12.094692509413957,2045.3814,0.0,0.0,0.69718987,0.15,3,1,96
155,49353.617,0.0,51311.196,0,0,12.071932595798806,1957.5794,0.0,0.0,0.69718503,0.15,3,1,96
156,48442.892,0.0,50588.503,0,0,12.049172682183658,2145.6107,0.0,0.0,0.69718018,0.15,3,1,96
157,48280.249,0.0,50227.157,0,0,12.046456361347074,1946.908,0.0,0.0,0.69717534,0.15,3,1,96
158,48022.981,0.0,49865.81,0,0,12.043740040510492,1842.8289,0.0,0.0,0.6971705,0.15,3,1,96
159,47701.551,0.0,49504.464,0,0,12.041023719673907,1802.9128,0.0,0.0,0.69716566,0.15,3,1,96
160,46811.299,0.0,49143.117,0,0,12.038307398837324,2331.8185,0.0,0.0,0.69716082,0.15,3,1,96
161,46140.754,0.0,48781.771,0,0,12.035591078000744,2641.0166,0.0,0.0,0.69715598,0.15,3,1,96
162,46346.001,0.0,48420.424,0,0,12.03287475716416,2074.4236,0.0,0.0,0.69715114,0.15,3,1,96
163,45952.168,0.0,48059.078,0,0,12.030158436327577,2106.9103,0.0,0.0,0.69714629,0.15,3,1,96
164,45529.427,0.0,47697.731,0,0,12.027442115490995,2168.3042,0.0,0.0,0.69714145,0.15,3,1,96
165,45261.348,0.0,47336.385,0,0,12.024725794654412,2102.5202,27.482778,0.0,0.69713661,0.15,3,1,96
166,45634.506,0.0,46975.038,0,0,12.022009473817828,2070.979,730.44641,0.0,0.69721972,0.15,3,1,96
167,45401.088,0.0,46613.692,0,0,12.019293152981248,2062.6041,850.0,0.0,0.6995523,0.15,3,1,96
168,44944.915,0.0,46252.346,0,0,12.016576832144665,2157.4302,850.0,0.0,0.70226744,0.15,3,1,96
169,44856.164,0.0,46071.672,0,0,12.034125512482763,2065.5083,850.0,0.0,0.70498257,0.15,3,1,96
170,44759.983,0.0,45890.999,0,0,12.051674192820863,1981.0157,850.0,0.0,0.70769767,0.15,3,1,96
171,44441.731,0.0,45710.326,0,0,12.069222873158964,2118.5947,850.0,0.0,0.71041276,0.15,3,1,96
172,41651.988,0.0,45529.653,0,0,12.086771553497066,4727.6649,850.0,0.0,0.71312782,0.15,3,1,96
173,40002.927,0.0,45348.979,0,0,12.104320233835168,6196.0521,850.0,0.0,0.71584287,0.15,3,1,96
174,41575.66,0.0,45168.306,0,0,12.121868914173268,4442.6461,850.0,0.0,0.7185579,0.15,3,1,96
175,42766.927,0.0,44987.633,0,0,12.139417594511368,3070.7061,850.0,0.0,0.72127291,0.15,3,1,96
176,43081.322,0.0,44806.96,0,0,12.15696627484947,2575.6379,850.0,0.0,0.7239879,0.15,3,1,96
177,43015.602,0.0,44626.287,0,0,12.17451495518757,2460.6848,850.0,0.0,0.72670287,0.15,3,1,96
178,40889.777,0.0,44445.613,0,0,12.19206363552567,4405.8368,850.0,0.0,0.72941783,0.15,3,1,96
179,43156.28,0.0,44264.94,0,0,12.209612315863772,1958.66,850.0,0.0,0.73213276,0.15,3,1,96
180,42245.094,0.0,44084.267,0,0,12.227160996201873,2689.1726,850.0,0.0,0.73484768,0.15,3,1,96
181,43378.768,0.0,44806.96,0,0,12.263544277769064,2278.1917,850.0,0.0,0.73756257,0.15,3,1,96
182,44653.195,0.0,45529.653,0,0,12.299927559336258,1726.4575,850.0,0.0,0.74027745,0.15,3,1,96
183,45514.615,0.0,46252.346,0,0,12.33631084090345,1587.7303,850.0,0.0,0.74299231,0.15,3,1,96
184,46030.703,0.0,46975.039,0,0,12.37269412247064,1794.3352,850.0,0.0,0.74570715,0.15,3,1,96
185,47243.872,0.0,47697.731,0,0,12.409077404037834,1303.8597,850.0,0.0,0.74842197,0.15,3,1,96
186,48228.687,0.0,48420.424,0,0,12.445460685605026,1041.737,850.0,0.0,0.75113678,0.15,3,1,96
187,48734.104,0.0,49143.117,0,0,12.481843967172216,1259.0131,850.0,0.0,0.75385156,0.15,3,1,96
188,49323.946,0.0,49865.81,0,0,12.51822724873941,1391.8643,850.0,0.0,0.75656633,0.15,3,1,96
189,49960.323,0.0,50588.503,0,0,12.554610530306602,1478.1804,850.0,0.0,0.75928107,0.15,3,1,96
