Hora,P_carga [kW],FC red
2025-01-01 16:25:00,1411889.649981795,10.86068961524458
2025-01-01 16:30:00,1434767.096025058,11.036669969423524
2025-01-01 16:35:00,1457644.543068321,11.212650331294778
2025-01-01 16:40:00,1480521.989111584,11.388630685473723
2025-01-01 16:45:00,1503399.4351548469,11.564611039652668
2025-01-01 16:50:00,1526276.8811981096,11.740591393831613
2025-01-01 16:55:00,1549154.3282413725,11.916571755702865
2025-01-01 17:00:00,1572031.7742846352,12.09255210988181
2025-01-01 17:05:00,1577572.4289418736,12.135172530322105
2025-01-01 17:10:00,1583113.083599112,12.1777929507624
2025-01-01 17:15:00,1588653.7382563502,12.220413371202694
2025-01-01 17:20:00,1594194.3929135883,12.263033791642988
2025-01-01 17:25:00,1599735.047570827,12.305654212083285
2025-01-01 17:30:00,1605275.702228065,12.34827463252358
2025-01-01 17:35:00,1610816.3568853035,12.390895052963874
2025-01-01 17:40:00,1616357.011542542,12.433515473404169
2025-01-01 17:45:00,1621897.6661997803,12.476135893844464
2025-01-01 17:50:00,1627438.3208570185,12.51875631428476
2025-01-01 17:55:00,1632978.9755142569,12.561376734725053
2025-01-01 18:00:00,1638519.6301714953,12.603997155165349
2025-01-01 18:05:00,1631960.6000999473,12.553543077691904
2025-01-01 18:10:00,1625401.5690283994,12.50308899252615
2025-01-01 18:15:00,1618842.5389568517,12.452634915052707
2025-01-01 18:20:00,1612283.5078853036,12.402180829886952
2025-01-01 18:25:00,1605724.4768137557,12.351726744721198
2025-01-01 18:30:00,1599165.4467422075,12.301272667247751
2025-01-01 18:35:00,1592606.41567066,12.250818582082001
2025-01-01 18:40:00,1586047.385599112,12.200364504608554
2025-01-01 18:45:00,1579488.354527564,12.1499104194428
2025-01-01 18:50:00,1572929.323456016,12.099456334277047
2025-01-01 18:55:00,1566370.2933844682,12.049002256803602
2025-01-01 19:00:00,1559811.2623129203,11.998548171637848
2025-01-01 19:05:00,1549849.5124127534,11.92191932625195
2025-01-01 19:10:00,1539887.761512586,11.845290473173737
2025-01-01 19:15:00,1529926.010612419,11.76866162009553
2025-01-01 19:20:00,1519964.259712252,11.692032767017325
2025-01-01 19:25:00,1510002.509812085,11.615403921631422
2025-01-01 19:30:00,1500040.7589119182,11.538775068553216
2025-01-01 19:35:00,1490079.008011751,11.46214621547501
2025-01-01 19:40:00,1480117.258111584,11.385517370089108
2025-01-01 19:45:00,1470155.5072114167,11.3088885170109
2025-01-01 19:50:00,1460193.7563112497,11.232259663932691
2025-01-01 19:55:00,1450232.0054110829,11.155630810854484
2025-01-01 20:00:00,1440270.2555109158,11.079001965468583
2025-01-01 20:05:00,1425077.94636782,10.962138048983231
2025-01-01 20:10:00,1409885.637224724,10.845274132497877
2025-01-01 20:15:00,1394693.3280816283,10.728410216012527
2025-01-01 20:20:00,1379501.0189385326,10.611546299527173
2025-01-01 20:25:00,1364308.7097954368,10.494682383041821
2025-01-01 20:30:00,1349116.400652341,10.377818466556471
2025-01-01 20:35:00,1333924.091509245,10.260954550071116
2025-01-01 20:40:00,1318731.7823661494,10.144090633585765
2025-01-01 20:45:00,1303539.473223054,10.027226717100415
2025-01-01 20:50:00,1288347.1640799576,9.91036280061506
2025-01-01 20:55:00,1273154.855936862,9.793498891822017
2025-01-01 21:00:00,1257962.546793766,9.676634975336663
2025-01-01 21:05:00,1244749.85006498,9.574998846653694
2025-01-01 21:10:00,1231537.153336194,9.473362717970724
2025-01-01 21:15:00,1218324.4576074078,9.37172659698006
