ASCII Name;Population;LABEL EN;Classification
Lloro;2651;Colombia;Small City
Suaita;2691;Colombia;Small City
Tarso;2700;Colombia;Small City
Arboledas;2702;Colombia;Small City
El Cocuy;2706;Colombia;Small City
Chipaque;2707;Colombia;Small City
La Esperanza;2718;Colombia;Small City
Villavieja;2730;Colombia;Small City
Nuqui;2741;Colombia;Small City
La Llanada;2747;Colombia;Small City
Ospina;2747;Colombia;Small City
Santa Maria;2761;Colombia;Small City
San Francisco;2779;Colombia;Small City
San Francisco;2785;Colombia;Small City
Doima;2808;Colombia;Small City
San Jose de la Montana;2819;Colombia;Small City
Orocue;2835;Colombia;Small City
Certegui;2854;Colombia;Small City
Guayata;2857;Colombia;Small City
La Florida;2882;Colombia;Small City
Payan;2892;Colombia;Small City
Chalan;2897;Colombia;Small City
Turmeque;2901;Colombia;Small City
Chita;2914;Colombia;Small City
Taminango;2919;Colombia;Small City
Caimito;2925;Colombia;Small City
Narino;2933;Colombia;Small City
Utica;2945;Colombia;Small City
Inza;2972;Colombia;Small City
San Bernardo;2988;Colombia;Small City
Puerto Escondido;3020;Colombia;Small City
San Andres;3032;Colombia;Small City
Caramanta;3044;Colombia;Small City
Villarrica;3081;Colombia;Small City
Tarapaca;3100;Colombia;Small City
Maceo;3109;Colombia;Small City
Santiago Perez;3115;Colombia;Small City
Gachancipa;3119;Colombia;Small City
Almaguer;3120;Colombia;Small City
Caracoli;3120;Colombia;Small City
Belen;3131;Colombia;Small City
San Andres;3154;Colombia;Small City
Carolina;3160;Colombia;Small City
Pasca;3169;Colombia;Small City
Narino;3186;Colombia;Small City
Une;3208;Colombia;Small City
Pie de Pato;3242;Colombia;Small City
El Cairo;3268;Colombia;Small City
Colon;3269;Colombia;Small City
El Canton de San Pablo;3271;Colombia;Small City
La Montanita;3305;Colombia;Small City
El Roble;3324;Colombia;Small City
Providencia;3326;Colombia;Small City
El Tarra;3336;Colombia;Small City
Tangua;3348;Colombia;Small City
Socha Viejo;3353;Colombia;Small City
Nobsa;3360;Colombia;Small City
Cajibio;3365;Colombia;Small City
Piojo;3388;Colombia;Small City
Argelia;3418;Colombia;Small City
San Carlos;3447;Colombia;Small City
La Macarena;3466;Colombia;Small City
La Vega;3469;Colombia;Small City
Durania;3470;Colombia;Small City
Argelia;3474;Colombia;Small City
Contratacion;3505;Colombia;Small City
Caldono;3517;Colombia;Small City
Tibasosa;3535;Colombia;Small City
Guasca;3540;Colombia;Small City
Versalles;3542;Colombia;Small City
Ragonvalia;3543;Colombia;Small City
Quipama;3571;Colombia;Small City
Gramalote;3577;Colombia;Small City
Fuente de Oro;3609;Colombia;Small City
Arroyohondo;3622;Colombia;Small City
Valparaiso;3626;Colombia;Small City
Hatillo de Loba;3639;Colombia;Small City
Angostura;3639;Colombia;Small City
Pedraza;3677;Colombia;Small City
Samaca;3689;Colombia;Small City
Lopez;3699;Colombia;Small City
Villanueva;3707;Colombia;Small City
Puerto Rondon;3724;Colombia;Small City
Calamar;3745;Colombia;Small City
Boavita;3749;Colombia;Small City
Coloso;3749;Colombia;Small City
Cordoba;3784;Colombia;Small City
Capitanejo;3791;Colombia;Small City
Betania;3800;Colombia;Small City
Puerres;3812;Colombia;Small City
La Merced;3851;Colombia;Small City
Tenjo;3858;Colombia;Small City
Chitaga;3871;Colombia;Small City
Coyaima;3893;Colombia;Small City
Yali;3908;Colombia;Small City
Toribio;3911;Colombia;Small City
Teruel;3921;Colombia;Small City
Belen de los Andaquies;3937;Colombia;Small City
Toca;3946;Colombia;Small City
Oiba;3959;Colombia;Small City
Tesalia;3981;Colombia;Small City
Guachucal;4014;Colombia;Small City
Cordoba;4063;Colombia;Small City
Vijes;4070;Colombia;Small City
Apulo;4084;Colombia;Small City
Subachoque;4088;Colombia;Small City
Gacheta;4088;Colombia;Small City
Puerto Guzman;4094;Colombia;Small City
Pore;4133;Colombia;Small City
Salento;4135;Colombia;Small City
Barichara;4149;Colombia;Small City
Villahermosa;4155;Colombia;Small City
Albania;4160;Colombia;Small City
Bolivar;4165;Colombia;Small City
Tabio;4180;Colombia;Small City
San Luis;4184;Colombia;Small City
Guacheta;4245;Colombia;Small City
Cachipay;4260;Colombia;Small City
Argelia;4262;Colombia;Small City
Choachi;4281;Colombia;Small City
Vistahermosa;4282;Colombia;Small City
Buenavista;4339;Colombia;Small City
San Francisco;4350;Colombia;Small City
Guatica;4368;Colombia;Small City
Bojaca;4399;Colombia;Small City
Baraya;4402;Colombia;Small City
Dibulla;4402;Colombia;Small City
La Union;4427;Colombia;Small City
Hobo;4444;Colombia;Small City
Acevedo;4451;Colombia;Small City
Padilla;4472;Colombia;Small City
Agrado;4530;Colombia;Small City
Bagado;4561;Colombia;Small City
Fortul;4607;Colombia;Small City
Victoria;4723;Colombia;Small City
El Guamo;4732;Colombia;Small City
San Cristobal;4737;Colombia;Small City
Cogua;4755;Colombia;Small City
Cruces de Anori;4762;Colombia;Small City
Simijaca;4767;Colombia;Small City
Cravo Norte;4787;Colombia;Small City
La Argentina;4800;Colombia;Small City
Acandi;4840;Colombia;Small City
Iscuande;4875;Colombia;Small City
Suesca;4877;Colombia;Small City
Chachaguei;4899;Colombia;Small City
La Celia;4940;Colombia;Small City
Morroa;4949;Colombia;Small City
Anapoima;4953;Colombia;Small City
Tamalameque;4972;Colombia;Small City
Caceres;4987;Colombia;Small City
Miraflores;5007;Colombia;Small City
Puerto Yuca;5029;Colombia;Small City
Ramiriqui;5039;Colombia;Small City
Buenavista;5062;Colombia;Small City
Puerto Lleras;5076;Colombia;Small City
Cumbitara;5096;Colombia;Small City
Villa de Leyva;5103;Colombia;Small City
Pesca;5113;Colombia;Small City
